year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,3450208,943950,76.5,807,21.26,278.7,246.04,480.12,837365,3435,113633
2004,2007627,829496,54.8,777,22.1,249.96,205.78,533.8,908439,4596,167590
2005,3037968,843142,83.1,778,22.4,154.28,221.82,532.5,957447,3457,109684
2006,2472489,782347,55.8,722,21.58,226.26,197.82,511.7,1005601,4025,134776
2007,3102190,940609,81.5,985,22,241.08,170.86,516.5,1089660,3929,123333
2008,1919870,965258,48.7,949,22.04,143.4,182.68,542.2,1154217,3618,119999
2009,2488925,1073746,79.2,802,21.92,185.74,197.94,611.9,1205348,3373,107827
2010,3991756,1201114,61.5,903,22.74,218.84,186.82,596.9,1322611,3139,101392
2011,2219247,1052807,50.8,1200,22.38,218.72,173.28,599,1388937,3596,93142
2012,3807112,1437757,69.2,1023,22.74,234.88,212.52,569,1440111,3352,83465
2013,3035881,1311668,,1205,23.18,165.9,236.04,592.7,1500819,3510,114321
2014,2674434,1336977,,1539,21.94,210.92,200.22,604,1562929,3408,110704
2015,3642072,1508431,,1541,21.9,133.56,231.32,582.2,1658020,3287,96957
2016,4084090,1504323,,1405,22.98,149.7,230.98,593.3,1740779,3189,113661
2017,3314958,1364121,,1709,22.82,120.78,235.52,592.7,1835698,3938,145923
2018,2929019,1307571,,1811,23.12,170.66,234.38,590,1898193,3571,116329
2019,2831026,1308039,68.3,1497,22.34,199.88,223.2,576.3,1924498,3741,136264
2020,3511459,1392701,68.3,1496,22.12,266.5,190.78,528.5,1940726,3272,118687
2021,2777979,1443235,46.4,1521,22.92,206.04,218.18,583.9,2071658,4450,159436
